filename	acq_time	operator	randstr	MotionExclusion	MeanFD	RepeatSubjectExclusion	OtherExclusion	OtherExclusionReason
anat/sub-SAXSISO42s_T2w.nii.gz	2000-01-01T00:00:00	saxe	ca3c0f69	False	n/a	False	False	n/a
anat/sub-SAXSISO42s_T1w.nii.gz	2000-01-01T00:00:01	saxe	d71de7ac	False	n/a	False	False	n/a
fmap/sub-SAXSISO42s_run-001_magnitude1.nii.gz	2000-01-01T00:00:02	saxe	74c5a468	False	n/a	False	False	n/a
fmap/sub-SAXSISO42s_run-001_magnitude2.nii.gz	2000-01-01T00:00:03	saxe	74c5a468	False	n/a	False	False	n/a
fmap/sub-SAXSISO42s_run-001_phasediff.nii.gz	2000-01-01T00:00:04	saxe	ecfce8fa	False	n/a	False	False	n/a
func/sub-SAXSISO42s_task-CIC_run-001_bold.nii.gz	2000-01-01T00:00:05	saxe	e2c225d0	False	0.08624355115068492	False	False	n/a
func/sub-SAXSISO42s_task-CIC_run-002_bold.nii.gz	2000-01-01T00:00:06	saxe	24d191e2	False	0.09854160604109588	False	False	n/a
func/sub-SAXSISO42s_task-CIC_run-003_bold.nii.gz	2000-01-01T00:00:07	saxe	018ca747	False	0.08938681900684932	False	False	n/a
func/sub-SAXSISO42s_task-CIC_run-004_bold.nii.gz	2000-01-01T00:00:08	saxe	0e0ea0f8	False	0.11206212157808218	False	False	n/a
func/sub-SAXSISO42s_task-CIC_run-005_bold.nii.gz	2000-01-01T00:00:09	saxe	2bdfee01	False	0.0990572155479452	False	False	n/a
func/sub-SAXSISO42s_task-CIC_run-006_bold.nii.gz	2000-01-01T00:00:10	saxe	7c30661f	False	0.09746444773835618	False	False	n/a
